system,label,precision,recall,f1_score,support
Baseline 2 — Majority Vote,DDoS,1.0,0.3333,0.5,6
Baseline 2 — Majority Vote,Insider Threat,0.0,0.0,0.0,4
Baseline 2 — Majority Vote,Malware,0.6667,0.25,0.3636,8
Baseline 2 — Majority Vote,Man-in-the-Middle,1.0,0.5,0.6667,4
Baseline 2 — Majority Vote,Other,0.0741,0.6667,0.1333,3
Baseline 2 — Majority Vote,Phishing,1.0,1.0,1.0,10
Baseline 2 — Majority Vote,Ransomware,1.0,0.2,0.3333,5
Baseline 2 — Majority Vote,SQL Injection,1.0,1.0,1.0,5
Baseline 2 — Majority Vote,Zero-Day Exploit,0.0,0.0,0.0,5
Baseline 2 — Majority Vote,macro avg,0.6379,0.4389,0.4441,50
Baseline 2 — Majority Vote,weighted avg,0.7111,0.48,0.5128,50

system,accuracy,precision_w,recall_w,f1_w
Baseline 2 — Majority Vote,0.48,0.7111,0.48,0.5128
